actor_episodes,actor_loss,actor_steps,binary_accuracy,categorical_accuracy,critic_loss,evaluator_episodes,evaluator_steps,learner_steps,learner_walltime,logits_neg,logits_pos,logsumexp,steps_per_second
1119,-3.412881,111900,0.770293,0.019042969,0.40132964,4226,422600,1534,3047.7790014743805,-2.1171646,-1.4806277,29.048012,27.615819222988964
1122,-4.144803,112200,0.7792821,0.017333984,0.39594615,4242,424200,1540,3059.7994389533997,-2.132644,-1.5547106,39.773903,30.66801234692868
1125,-3.2021275,112500,0.7750163,0.02178955,0.39729887,4256,425600,1545,3069.9085433483124,-2.1153443,-1.5000844,27.706459,29.86369380451365
1129,-3.550495,112900,0.7603328,0.018371582,0.40772885,4271,427100,1551,3081.9597420692444,-2.081937,-1.5371705,31.370451,31.155808606966836
1132,-3.5975635,113200,0.76956344,0.019958496,0.4105882,4288,428800,1557,3093.6605875492096,-1.9649043,-1.4663876,33.534702,35.24755722310096
1136,-3.0998867,113600,0.76387453,0.017028809,0.41732538,4298,429800,1562,3103.6895875930786,-1.9439867,-1.4352612,35.515114,34.884168538973945
1140,-3.2227554,114000,0.7788403,0.018371582,0.3981647,4312,431200,1567,3113.909189939499,-2.0235915,-1.5108153,29.614582,31.558743826930442
1143,-3.703633,114300,0.7859862,0.017578125,0.3880762,4325,432500,1572,3123.9216043949127,-2.1666412,-1.5898266,34.54429,29.98684461873144
1147,-3.1520371,114700,0.77569675,0.01953125,0.3945115,4342,434200,1578,3135.7805955410004,-2.1683197,-1.5741515,31.390331,27.615458416756873
1151,-3.2880476,115100,0.7698252,0.018005371,0.4103807,4358,435800,1584,3147.7882425785065,-2.0467176,-1.5575464,39.992714,30.01931942085128
1155,-3.3701642,115500,0.7708173,0.019714355,0.40458882,4374,437400,1590,3159.7122552394867,-2.0411284,-1.4496768,29.909714,27.846969370823572
1158,-3.3426185,115800,0.7670827,0.016418457,0.41316295,4391,439100,1596,3171.6086933612823,-1.9740977,-1.4615023,35.87787,30.439079704589425
1162,-3.2812023,116200,0.76484823,0.020935059,0.41340154,4408,440800,1602,3183.6905822753906,-1.9719524,-1.4654286,32.192894,28.30922157603323
1164,-3.5260327,116400,0.7767463,0.019714355,0.3994276,4421,442100,1607,3193.706192970276,-2.0626426,-1.4793108,32.131805,33.94140216880178
1168,-3.2164853,116800,0.7697518,0.018066406,0.41579738,4435,443500,1612,3205.05286192894,-1.8837388,-1.4136292,30.12704,34.22619378366624
1172,-3.1888442,117200,0.7673271,0.017028809,0.40798926,4453,445300,1618,3216.8998486995697,-1.92258,-1.4482197,39.183594,34.32985765989283
1176,-3.6070633,117600,0.78443575,0.017028809,0.39672378,4470,447000,1624,3228.3753600120544,-2.0862982,-1.6042644,34.851334,31.80869148933649
1180,-3.6304069,118000,0.7675104,0.020263672,0.41086084,4486,448600,1630,3240.0649287700653,-1.9427981,-1.3753278,29.939491,31.070583527797844
1184,-3.4944873,118400,0.7667067,0.017456055,0.41215438,4503,450300,1636,3252.0927860736847,-2.0079885,-1.4374524,28.315733,31.003624311577145
