delta_dist,episode_length,episode_return,evaluator_episodes,evaluator_steps,final_dist,init_dist,min_dist,steps_per_second,success,success_1000
6.4975624,100,86.0,6506,650600,0.3476752,6.8452377,0.17137891,26.190926382229925,1.0,0.825
2.3461013,100,0.0,6507,650700,4.9119473,7.2580485,4.860903,85.45794211245116,0.0,0.825
7.9144387,100,82.0,6508,650800,0.29644445,8.210883,0.21680467,84.74493602867622,1.0,0.824
2.244609,100,100.0,6509,650900,0.04339752,2.2880065,0.04339752,26.920663609803185,1.0,0.824
-1.7564368,100,0.0,6510,651000,5.4570885,3.7006516,3.4164863,94.57308443068717,0.0,0.825
0.9202914,100,0.0,6511,651100,5.3922076,6.312499,2.041465,94.82756944530797,0.0,0.824
7.65617,100,91.0,6512,651200,0.07847224,7.734642,0.0588643,30.440789733909156,1.0,0.823
7.6491003,100,83.0,6513,651300,0.8218681,8.470968,0.079701975,61.19027614888672,1.0,0.823
0.6566992,100,100.0,6515,651500,0.12565602,0.7823552,0.023050915,35.52076493004678,1.0,0.823
8.748062,100,80.0,6516,651600,0.21793696,8.965999,0.078317344,37.32597713064133,1.0,0.824
-1.2837,100,0.0,6517,651700,5.4250226,4.1413226,2.3047283,72.31899018695191,0.0,0.825
6.947513,100,87.0,6518,651800,0.20008166,7.147595,0.14278695,34.45442287068986,1.0,0.825
4.2483635,100,98.0,6519,651900,0.355567,4.6039305,0.09710438,51.06251393190965,1.0,0.825
5.4595814,100,97.0,6520,652000,0.3300261,5.7896075,0.19260003,55.52114012088541,1.0,0.825
0.07918382,100,16.0,6521,652100,2.0086446,2.0878284,1.0295985,36.63020272308439,1.0,0.825
3.8687072,100,96.0,6522,652200,0.24944155,4.118149,0.16863649,55.30459759657363,1.0,0.825
4.1431365,100,33.0,6523,652300,0.2205737,4.3637104,0.12044547,47.78701978038705,1.0,0.825
0.7003306,100,98.0,6524,652400,1.2993258,1.9996564,1.2992339,34.29943493446004,1.0,0.825
2.519711,100,100.0,6526,652600,0.19962697,2.719338,0.13146365,65.44129417708311,1.0,0.825
