delta_dist,episode_length,episode_return,evaluator_episodes,evaluator_steps,final_dist,init_dist,min_dist,steps_per_second,success,success_1000
-0.2663989,100,5.0,436,43600,4.80688,4.540481,0.4090728,97.33551165899301,1.0,0.2827586206896552
1.1167192,100,1.0,437,43700,2.6869535,3.8036728,1.8704444,33.91001787301934,1.0,0.28440366972477066
0.45935392,100,56.0,438,43800,2.1435597,2.6029136,1.2452769,36.75626430237784,1.0,0.28604118993135014
-0.7909894,100,84.0,439,43900,3.1961915,2.4052022,0.13998805,33.29468286572936,1.0,0.2876712328767123
0.5094547,100,0.0,440,44000,5.510338,6.0197926,5.0357795,36.48899998155673,0.0,0.28929384965831434
1.8814297,100,0.0,441,44100,5.089178,6.9706078,5.089178,43.17041815866912,0.0,0.28863636363636364
0.35478044,100,0.0,442,44200,2.345452,2.7002325,2.2767599,32.266723840941964,0.0,0.28798185941043086
0.38268137,100,0.0,443,44300,3.8286066,4.211288,3.7125337,56.22778834895595,0.0,0.2873303167420814
0.8954958,100,99.0,444,44400,1.8495485,2.7450442,1.0585446,31.155098135531492,1.0,0.2866817155756208
-0.5118365,100,0.0,445,44500,5.693286,5.1814494,2.3963478,41.590098109423806,0.0,0.2882882882882883
2.1905928,100,18.0,447,44700,1.6770053,3.867598,1.4988625,26.086780210363376,1.0,0.289237668161435
-1.0675459,100,0.0,448,44800,7.600232,6.532686,6.532686,49.60349645007097,0.0,0.29082774049217003
7.1959615,100,59.0,449,44900,1.5195309,8.715492,1.4786777,32.07022947667458,1.0,0.29017857142857145
0.7537291,100,100.0,450,45000,1.6415026,2.3952317,0.25515202,52.921839704375856,1.0,0.29175946547884185
0.8019419,100,0.0,452,45200,8.442938,9.24488,8.429509,26.122414814184626,0.0,0.2926829268292683
-0.20952463,100,0.0,453,45300,8.207699,7.998174,7.998174,82.32315837364469,0.0,0.2920353982300885
3.1417327,100,0.0,455,45500,3.589748,6.7314806,3.589748,29.33885615573285,0.0,0.2907488986784141
0.025322437,100,31.0,456,45600,2.172974,2.1982965,1.4036746,44.72430594113049,1.0,0.29010989010989013
-0.8699475,100,99.0,457,45700,1.7788407,0.90889317,0.567288,62.31496848894777,1.0,0.2916666666666667
0.39344597,100,0.0,458,45800,3.544782,3.938228,3.544782,32.51226311041051,0.0,0.29321663019693656
0.7153859,100,0.0,459,45900,5.16902,5.884406,3.787859,42.28571071391233,0.0,0.2925764192139738
-1.122846,100,98.0,460,46000,2.5027657,1.3799196,1.0243174,29.30413044409308,1.0,0.29193899782135074
1.9149361,100,0.0,461,46100,8.331903,10.24684,8.161562,47.784194239038314,0.0,0.29347826086956524
0.011998653,100,0.0,462,46200,7.2424717,7.2544703,7.2390976,45.539405233763944,0.0,0.2928416485900217
0.09564042,100,0.0,463,46300,3.990803,4.0864434,3.8875847,33.59994514169113,0.0,0.2922077922077922
-0.16298044,100,100.0,464,46400,1.1125485,0.94956803,0.5927836,45.48040098358064,1.0,0.2915766738660907
-1.4249535,100,0.0,465,46500,10.639106,9.214152,9.103783,28.012789576417745,0.0,0.29310344827586204
2.3805761,100,95.0,466,46600,1.2416247,3.6222007,0.6541424,45.05430562372112,1.0,0.2924731182795699
0.36353636,100,0.0,467,46700,3.5786135,3.9421499,3.5675578,47.09010634923754,0.0,0.2939914163090129
-0.53468513,100,0.0,468,46800,5.0846243,4.549939,4.539463,28.263620221080423,0.0,0.29336188436830835
-0.77700627,100,100.0,469,46900,1.076551,0.2995447,0.26268908,41.24747556996851,1.0,0.29273504273504275
1.8962526,100,0.0,470,47000,8.463231,10.359484,8.421004,37.310637110789706,0.0,0.2942430703624733
-0.523581,100,0.0,471,47100,5.904132,5.380551,5.1725364,50.23013290140626,0.0,0.2936170212765957
-3.3715036,100,0.0,472,47200,6.2300806,2.858577,2.1270294,34.10923092024085,0.0,0.2929936305732484
-1.583992,100,0.0,473,47300,8.293263,6.7092714,6.6228833,36.824497455351775,0.0,0.2923728813559322
1.7357938,100,99.0,474,47400,1.5698328,3.3056266,0.3816938,39.70700738123812,1.0,0.2917547568710359
1.1565309,100,0.0,475,47500,6.6738176,7.8303485,6.6120114,35.64389721534602,0.0,0.29324894514767935
0.9280777,100,0.0,476,47600,4.5479674,5.476045,4.5011473,34.070363604506674,0.0,0.2926315789473684
1.9479256,100,0.0,477,47700,3.446056,5.3939815,3.4417477,34.317190586349426,0.0,0.2920168067226891
0.38672876,100,0.0,478,47800,6.5732846,6.9600134,6.069422,34.46619804580796,0.0,0.2914046121593291
-0.74312925,100,0.0,479,47900,5.9054875,5.1623583,5.1536493,37.191215138866404,0.0,0.2907949790794979
6.4783697,100,95.0,480,48000,0.56095916,7.039329,0.21390378,33.141151238882735,1.0,0.29018789144050106
1.8837891,100,0.0,481,48100,4.371464,6.255253,4.08193,47.186253842745934,0.0,0.2916666666666667
6.8986435,100,94.0,482,48200,1.1284038,8.027047,0.4120436,30.968267062673412,1.0,0.2910602910602911
0.21604729,100,0.0,483,48300,4.345686,4.5617332,2.818291,39.921027957637286,0.0,0.2925311203319502
1.6868253,100,0.0,484,48400,3.253708,4.940533,3.2514985,31.81518009621536,0.0,0.2919254658385093
1.3451576,100,48.0,485,48500,3.2554512,4.600609,0.22545071,36.358233537475996,1.0,0.29132231404958675
-0.11723518,100,0.0,486,48600,6.3698564,6.252621,6.246617,46.42390296890001,0.0,0.2927835051546392
