actor_episodes,actor_steps,delta_dist,delta_dist_10,delta_dist_100,delta_dist_1000,episode_length,episode_return,evaluator_episodes,evaluator_steps,final_dist,final_dist_10,final_dist_100,final_dist_1000,init_dist,init_dist_10,init_dist_100,init_dist_1000,min_dist,min_dist_10,min_dist_100,min_dist_1000,steps_per_second,success,success_1000
2,200,-4.325217,0.0,0.0,0.0,100,0.0,1,100,6.2856145,4.6527658,4.6527658,4.6527658,1.9603977,4.6527658,4.6527658,4.6527658,1.1598132,4.6527658,4.6527658,4.6527658,14.931094291926021,1.0,nan
29,2900,1.9790174,0.7211794,-0.091433,-0.091433,100,51.0,7,700,1.1518711,3.6730309,5.06679,5.06679,3.1308885,4.394211,4.975357,4.975357,0.43559107,0.78875196,2.6169221,2.6169221,48.256012149417124,1.0,0.8
53,5300,-2.0769458,0.50659776,-0.0372103,-0.0372103,100,0.0,13,1300,7.868529,4.934566,4.957079,4.957079,5.791583,5.441163,4.919869,4.919869,3.2498713,1.9649384,2.2657127,2.2657127,47.31709303678023,0.0,0.7551020408163265
78,7800,-3.6657336,-0.35535,0.10403971,0.10403971,100,19.0,20,2000,6.9156814,4.4585524,4.8271084,4.8271084,3.2499478,4.103203,4.9311485,4.9311485,2.7784522,1.5607743,1.9513754,1.9513754,51.07387396602385,0.0,0.7837837837837838
102,10200,2.4209688,1.2013,0.24109669,0.19053896,100,4.0,26,2600,2.076876,4.0725293,4.8078184,4.8172517,4.4978447,5.27383,5.048915,5.0077906,0.51878077,1.2956502,1.7426289,1.8209713,23.577613773275232,1.0,0.7551020408163265
116,11600,-0.65609336,-0.2099674,0.3438275,0.18610612,100,1.0,29,2900,3.408609,5.6718454,4.6338997,4.857125,2.7525156,5.461879,4.977728,5.0432305,1.9000489,2.2169967,1.4402748,1.8141956,27.453615000709526,1.0,0.7232142857142857
126,12600,2.7678223,0.6951885,0.30146644,0.22587818,100,7.0,32,3200,1.3280221,3.49693,4.62027,4.7508597,4.0958443,4.1921186,4.921736,4.976738,1.088558,2.0286555,1.5500864,1.8309504,18.53811768915642,1.0,0.7272727272727273
136,13600,3.7687576,1.4258633,0.48233822,0.31283364,100,100.0,35,3500,0.074757926,2.8263097,4.452961,4.6113987,3.8435154,4.252173,4.9352994,4.9242334,0.07330089,0.6647378,1.4788791,1.7464423,20.797788791002677,1.0,0.7404580152671756
144,14400,3.7000427,1.9679428,0.64267707,0.41337863,100,95.0,37,3700,1.8759514,2.4957883,4.3020983,4.4948273,5.575994,4.463731,4.9447746,4.908206,0.34718007,0.27858144,1.3551489,1.6658977,17.383700633754504,1.0,0.7553956834532374
155,15500,1.0565224,3.78951,1.0991662,0.6525701,100,34.0,40,4000,2.4856606,1.600124,3.8864172,4.2905536,3.542183,5.3896337,4.9855833,4.943124,1.1734148,0.41701335,1.192387,1.5779513,21.78491423525898,1.0,0.7733333333333333
164,16400,4.6872654,1.9933916,1.1965303,0.73581725,100,59.0,44,4400,1.1851517,5.240141,3.890197,4.331588,5.872417,7.233533,5.086727,5.0674047,0.44009948,0.8310466,1.1739789,1.5391117,10.882019207680893,1.0,0.779874213836478
168,16800,2.4021397,1.3319257,1.0777344,0.7038242,100,33.0,49,4900,1.9482689,5.6333904,3.9850729,4.353473,4.3504086,6.965316,5.062807,5.0572977,1.2753028,0.869486,1.1963925,1.5302444,9.95443506053918,1.0,0.7852760736196319
172,17200,3.9794388,0.6374196,1.1680899,0.72574437,100,0.0,55,5500,2.5712085,4.50761,3.854681,4.2943025,6.5506473,5.145029,5.022771,5.0200467,1.7165183,1.1771966,1.172061,1.5287106,8.764269846727917,1.0,0.7904191616766467
