actor_episodes,actor_steps,delta_dist,delta_dist_10,delta_dist_100,delta_dist_1000,episode_length,episode_return,final_dist,final_dist_10,final_dist_100,final_dist_1000,init_dist,init_dist_10,init_dist_100,init_dist_1000,min_dist,min_dist_10,min_dist_100,min_dist_1000,steps_per_second,success,success_1000
7690,769000,-4.789201,-0.18826333,-1.090179,-1.0335194,100,0.0,6.9621816,7.1625,6.489746,6.516805,2.172981,6.9742365,5.399566,5.4832854,2.172981,3.1843429,3.127037,3.4164996,6.934661261638255,0.0,0.262
7694,769400,-1.1227136,-0.4899415,-1.0475311,-1.0345792,100,0.0,7.4117627,7.117265,6.567725,6.5206776,6.289049,6.627324,5.520194,5.486099,2.420504,4.2122016,3.2486148,3.4249878,8.104236657010107,0.0,0.261
7698,769800,7.2202735,-0.43424815,-1.0813199,-1.0229484,100,0.0,2.0664783,7.1197953,6.652122,6.52038,9.286752,6.685548,5.570802,5.4974318,2.0664783,4.1355467,3.246896,3.4215786,7.01997182842116,0.0,0.259
7702,770200,7.3446426,-1.242035,-0.9389678,-1.0172809,100,100.0,0.44915488,7.1572523,6.593535,6.5152726,7.7937975,5.9152174,5.6545672,5.497991,0.44915488,2.5653322,3.1692233,3.4129367,8.0731245031173,1.0,0.26
7706,770600,1.1426616,0.96319354,-0.9251325,-1.0009813,100,100.0,1.5580816,5.067371,6.5422487,6.505534,2.7007432,6.030565,5.617116,5.504553,1.5580816,2.052081,3.1864843,3.415992,8.095616936841354,1.0,0.26
7710,771000,-0.52011585,0.8789848,-0.7242516,-0.99155605,100,0.0,10.9344845,4.799077,6.4013777,6.497193,10.414369,5.6780624,5.6771255,5.5056367,9.189917,2.9263434,3.2195773,3.4168658,8.065693756305555,0.0,0.262
7714,771400,-4.6647687,0.6168521,-0.666741,-0.9770527,100,0.0,9.324916,6.520302,6.4707184,6.501016,4.660147,7.1371536,5.8039765,5.5239635,2.0488274,4.7932353,3.2688856,3.4231524,8.114768797411681,0.0,0.262
7718,771800,7.5716443,0.35257378,-0.63128364,-0.97930586,100,100.0,1.3978046,6.201558,6.429386,6.502245,8.969449,6.554132,5.798104,5.5229397,1.3978046,3.667767,3.1928709,3.4200928,7.779077019873916,1.0,0.262
7722,772200,-0.39661217,-0.8950694,-0.68055487,-0.9811349,100,0.0,3.1923907,6.799308,6.461474,6.5116134,2.7957785,5.904239,5.7809186,5.5304785,2.7957785,3.0055492,3.2013373,3.4235811,7.892537548227502,0.0,0.261
7726,772600,-5.6784353,0.44237465,-0.6696824,-0.9946401,100,4.0,8.141682,5.379438,6.481872,6.5195227,2.4632466,5.8218126,5.812189,5.524882,2.4632466,2.8730235,3.1696436,3.4283,7.025287459822757,0.0,0.259
7730,773000,4.6861024,-2.250594,-0.7493077,-1.0012842,100,0.0,4.1425004,6.7181687,6.4414763,6.5215764,8.828603,4.467574,5.692169,5.520292,3.9561894,3.293293,3.0945559,3.4299762,7.903952641531318,0.0,0.258
7734,773400,5.3144712,-1.0002282,-0.74652755,-1.0085722,100,1.0,2.6855443,5.8974695,6.3799596,6.524794,8.000015,4.8972416,5.6334324,5.5162215,2.6855443,3.2565799,3.066679,3.4319818,7.773410498640373,0.0,0.258
7738,773800,-3.902073,-1.1939781,-0.8536911,-1.0016742,100,0.0,9.624864,6.206334,6.434763,6.5227847,5.7227907,5.0123563,5.581072,5.5211105,4.9719806,3.4015832,3.1625712,3.4347064,7.0648363991585805,0.0,0.258
7742,774200,-3.6956286,-1.5790298,-0.97087157,-1.0063835,100,0.0,6.807409,6.3464174,6.5490766,6.5217032,3.1117802,4.7673883,5.578205,5.5153203,3.1117802,3.6350942,3.278404,3.4391,8.038365791808078,0.0,0.257
7746,774600,-6.445759,-2.0051713,-1.0826936,-1.0119324,100,0.0,8.976084,6.824176,6.622656,6.5248194,2.5303247,4.819005,5.5399623,5.5128865,2.5303247,3.9596298,3.3413677,3.4415438,7.983914700966865,0.0,0.256
7750,775000,-2.3211603,-1.5112606,-1.0586733,-1.0133322,100,0.0,7.36265,6.5745173,6.591898,6.5251884,5.0414896,5.063257,5.5332246,5.5118566,0.76129895,3.236042,3.2974398,3.435018,7.854930657731597,1.0,0.257
7754,775400,5.467231,0.80931854,-0.8784667,-1.0054274,100,0.0,2.0632937,5.4872766,6.4802427,6.5144916,7.5305243,6.296595,5.601776,5.5090647,2.0632937,2.8169458,3.319084,3.4263492,6.962512492687319,0.0,0.259
7758,775800,1.4288673,1.6467327,-0.8434937,-1.0140676,100,0.0,2.7174249,4.735986,6.3861823,6.5134935,4.146292,6.382719,5.5426884,5.499426,2.7174249,2.3906643,3.2564359,3.4241726,8.106057425998065,0.0,0.26
7762,776200,-8.427924,0.7303063,-0.68931216,-1.0145836,100,0.0,11.730602,5.288053,6.270386,6.5101595,3.3026779,6.018359,5.5810747,5.4955764,3.3026779,3.8072324,3.2368386,3.4251146,7.963817496886998,0.0,0.259
7766,776600,-0.42759657,-2.4748569,-0.7573267,-1.033864,100,0.0,6.472124,7.483461,6.36489,6.5201144,6.0445275,5.0086045,5.6075635,5.48625,6.0445275,3.5680206,3.241975,3.425436,7.912504531580197,0.0,0.259
7770,777000,-3.7572656,-2.078712,-0.75908256,-1.0306923,100,0.0,9.253989,6.8888955,6.2895503,6.506757,5.4967237,4.8101835,5.5304675,5.4760647,4.4485693,3.280602,3.2151432,3.4120154,6.940899709398609,0.0,0.26
7774,777400,-3.466775,-2.112626,-0.82511157,-1.0297339,100,2.0,7.128442,6.3724174,6.3022723,6.4908304,3.6616669,4.2597914,5.4771614,5.461097,0.45645145,2.627959,3.2212756,3.3985653,7.97369138708886,1.0,0.261
7778,777800,-2.3274975,-1.5740373,-0.706308,-1.0267364,100,0.0,11.890731,5.8080072,6.2602277,6.4853477,9.563233,4.2339697,5.55392,5.4586115,9.563233,2.8215568,3.2199159,3.3934665,8.005618567291299,0.0,0.262
7782,778200,1.2958941,-1.8359115,-0.7074392,-1.0277466,100,0.0,4.237219,7.287336,6.314574,6.4917197,5.533113,5.4514246,5.607135,5.463973,1.7877301,4.2078323,3.3335104,3.40833,8.112505840474475,1.0,0.259
7786,778600,0.38781118,-1.0193468,-0.7546722,-1.0344257,100,0.0,5.9527125,6.5278463,6.28682,6.4965916,6.3405237,5.5085,5.5321484,5.462166,5.9527125,3.8821144,3.317608,3.4119859,7.138660402029949,0.0,0.259
7790,779000,-6.8957486,-1.0843451,-0.80371207,-1.0305446,100,0.0,12.1705675,6.825886,6.300897,6.4990387,5.274819,5.7415404,5.497185,5.468494,5.274819,3.9263923,3.38401,3.4142427,7.959311849897879,0.0,0.26
7794,779400,-5.830879,-1.0731161,-0.7856408,-1.0264908,100,0.0,8.878594,6.819949,6.2837996,6.493455,3.047715,5.7468333,5.4981585,5.466964,2.4927955,4.4042463,3.3743,3.4190414,7.874445010609923,0.0,0.26
7798,779800,7.111217,-2.5213406,-0.9041672,-1.0444244,100,94.0,1.5245107,7.5466127,6.286239,6.5074673,8.635728,5.025273,5.382073,5.4630427,1.5245107,3.5674481,3.3455834,3.4189358,7.13065917860046,1.0,0.261
7802,780200,4.2746367,-2.7331965,-0.9580806,-1.0519218,100,1.0,2.6178112,6.7291765,6.243075,6.4994783,6.892448,3.99598,5.284994,5.4475565,1.72451,2.5573697,3.3522663,3.4044476,9.348828826435234,1.0,0.265
7806,780600,-4.018466,-0.31693107,-0.9593039,-1.0286018,100,0.0,4.454903,4.7242913,6.274434,6.4897237,0.4364373,4.40736,5.3151307,5.4611216,0.4364373,2.213202,3.385716,3.4082465,6.934791626103666,1.0,0.266
