actor_episodes,actor_steps,delta_dist,delta_dist_10,delta_dist_100,delta_dist_1000,episode_length,episode_return,final_dist,final_dist_10,final_dist_100,final_dist_1000,init_dist,init_dist_10,init_dist_100,init_dist_1000,min_dist,min_dist_10,min_dist_100,min_dist_1000,steps_per_second,success,success_1000
1,100,0.0,0.07008209,0.07008209,0.07008209,100,0.0,5.9862337,4.781177,4.781177,4.781177,5.9862337,4.851259,4.851259,4.851259,5.9862337,3.44925,3.44925,3.44925,25.447509094519603,0.0,nan
36,3600,-0.51246786,-0.9491941,-0.43218684,-0.43218684,100,0.0,6.703156,4.9787397,5.8920603,5.8920603,6.190688,4.029546,5.4598727,5.4598727,0.35051367,1.2853395,2.56912,2.56912,67.09671144362333,1.0,0.37142857142857144
68,6800,-2.4569545,-1.3539699,-0.23745053,-0.23745053,100,0.0,6.9464664,5.5126643,5.378645,5.378645,4.489512,4.1586943,5.141194,5.141194,1.234648,1.6441664,1.9367313,1.9367313,77.48727390560391,1.0,0.6060606060606061
100,10000,-3.8963192,0.059006263,-0.2560936,-0.25107214,100,21.0,5.650339,5.1807013,5.594724,5.578378,1.75402,5.239708,5.3386316,5.3273063,0.33118185,1.2402627,1.8690748,1.9257807,49.96160239569604,1.0,0.6020408163265306
116,11600,4.3484306,0.04734378,-0.21006502,-0.16972166,100,55.0,1.6439097,6.3177276,5.550657,5.556551,5.99234,6.3650713,5.340591,5.38683,1.5865054,2.664616,1.7550707,2.008874,20.89164185196112,1.0,0.5614035087719298
126,12600,-6.0740476,-0.97435313,-0.22839533,-0.23258352,100,0.0,10.19228,4.9676447,5.3123865,5.510543,4.1182323,3.9932919,5.083991,5.2779593,1.0307958,1.5411097,1.6768504,1.9723296,26.52231412107792,1.0,0.5725806451612904
137,13700,1.9020848,2.82751,0.19029942,0.010886913,100,0.0,5.0842853,3.16773,5.069536,5.3103323,6.98637,5.99524,5.259836,5.321219,0.148475,0.6405462,1.6097789,1.8629853,29.255218493928588,1.0,0.6074074074074074
149,14900,4.858676,0.9417775,0.3754407,0.116191715,100,97.0,2.2004983,2.5578701,4.831575,5.0951905,7.0591745,3.4996479,5.2070155,5.211383,0.2890369,0.563243,1.549373,1.7579681,19.89416162431598,1.0,0.6394557823129252
161,16100,-7.9276905,0.17297082,0.41300026,0.20160939,100,0.0,8.946518,6.435992,4.9505906,5.1217976,1.0188272,6.608963,5.3635907,5.323407,1.0188272,1.0295093,1.5150069,1.6955045,20.933429531624256,0.0,0.6582278481012658
172,17200,2.673635,2.6753814,0.71303016,0.31465566,100,0.0,3.6890912,3.9820945,4.794749,5.0606833,6.362726,6.657476,5.507779,5.375339,1.6249962,1.2572138,1.4373876,1.6615285,21.54437302944785,1.0,0.6686390532544378
