actor_episodes,actor_steps,delta_dist,delta_dist_10,delta_dist_100,delta_dist_1000,episode_length,episode_return,evaluator_episodes,evaluator_steps,final_dist,final_dist_10,final_dist_100,final_dist_1000,init_dist,init_dist_10,init_dist_100,init_dist_1000,min_dist,min_dist_10,min_dist_100,min_dist_1000,steps_per_second,success,success_1000
8838,883800,-0.024167538,1.1387546,0.0019156862,-0.020822082,100,7.0,28771,2877100,3.4334042,3.678842,5.205361,5.4137144,3.4092367,4.8175964,5.207277,5.3928924,1.7821065,1.6378714,2.4088736,2.5090294,11.00438944665812,1.0,0.458
8842,884200,0.3888111,0.39222494,-0.013122811,-0.017734688,100,10.0,28784,2878400,7.0400963,3.3486779,5.107008,5.403324,7.4289074,3.7409027,5.0938845,5.385589,0.14162086,1.6525272,2.3174536,2.5036232,9.417839827627851,1.0,0.461
8850,885000,-2.5556817,-0.027470052,0.028349819,-0.023862889,100,0.0,28811,2881100,4.7553334,4.264046,5.0473027,5.396834,2.1996517,4.2365756,5.0756526,5.372971,0.47871017,1.9122114,2.3311272,2.50152,10.820255763638764,1.0,0.462
8854,885400,-4.243194,-0.7463106,-0.13402212,-0.040433045,100,7.0,28828,2882800,5.157033,5.3812017,5.1313386,5.411802,0.9138389,4.6348906,4.9973164,5.371368,0.1588948,2.313288,2.245611,2.5004938,9.413172526525369,1.0,0.461
8862,886200,-2.5124898,-1.3059657,-0.0679228,-0.044493645,100,0.0,28855,2885500,7.083879,6.514502,5.065381,5.423128,4.571389,5.208536,4.9974585,5.3786345,0.3067445,2.8101256,2.2312973,2.5028305,10.731369113177522,1.0,0.461
8870,887000,-1.0408952,0.07702242,-0.07472778,-0.04686841,100,19.0,28882,2888200,3.4454386,5.040252,5.075389,5.4142866,2.4045434,5.1172748,5.000662,5.367418,0.09054405,2.2121034,2.2928476,2.4945302,9.527818372691154,1.0,0.462
8878,887800,0.7926221,-0.76767504,-0.022486577,-0.042656906,100,0.0,28907,2890700,4.569541,3.8775456,4.8186474,5.391256,5.362163,3.1098704,4.79616,5.3485985,0.19771591,1.1303046,2.1077318,2.4846492,12.4140502538436,1.0,0.462
8882,888200,2.2683716,0.14967027,0.030539952,-0.028576706,100,0.0,28921,2892100,5.2631445,4.276423,4.820323,5.3864636,7.531516,4.426093,4.850862,5.3578877,2.1628125,2.0034926,2.1777189,2.4900932,9.496054600575174,0.0,0.46
8890,889000,3.6741204,0.557165,0.016656876,-0.032324627,100,26.0,28951,2895100,2.9899707,5.059714,4.814708,5.3880663,6.664091,5.616879,4.8313646,5.3557415,2.9899707,2.4559722,2.0721438,2.4927003,9.325734248288905,0.0,0.459
8898,889800,3.703914,1.0249808,0.028206585,-0.021127665,100,24.0,28974,2897400,2.8831809,4.736539,4.7975993,5.3841105,6.587095,5.7615194,4.825805,5.3629823,2.6004927,2.7317512,2.1282642,2.4975488,12.322401642397741,0.0,0.457
