actor_episodes,actor_loss,actor_steps,binary_accuracy,categorical_accuracy,critic_loss,evaluator_episodes,evaluator_steps,learner_steps,learner_walltime,logits_neg,logits_pos,logsumexp,steps_per_second
112,0.0,11200,0.9948089,0.0040283203,0.056893237,29,2900,1,0,-9.645634,-10.241884,2.361977,0.0
123,0.0,12300,0.99609375,0.026062012,0.022178456,31,3100,10,10.726427555084229,-7.4038143,-4.6811,0.08142081,63.92364467148682
132,0.0,13200,0.99609375,0.032470703,0.021723576,34,3400,20,20.904335498809814,-7.341301,-4.571042,0.036930025,72.30802814791988
141,0.0,14100,0.99609375,0.039367676,0.021512603,36,3600,30,31.059343338012695,-7.531865,-4.5147753,0.04733126,61.636540773133326
152,0.0,15200,0.99609375,0.040527344,0.021369725,39,3900,41,42.16598296165466,-7.7323527,-4.4746094,0.07531302,57.46075749561556
161,0.0,16100,0.99609375,0.046325684,0.020771071,41,4100,52,53.197901248931885,-7.996765,-4.3205395,0.049713396,57.825699654556466
169,0.0,16900,0.99609375,0.068481445,0.019946162,43,4300,62,63.39441418647766,-8.8497,-4.096674,0.0785922,71.42217408159198
178,0.0,17800,0.99609375,0.09484863,0.01946161,45,4500,72,73.42064142227173,-9.688021,-3.9712892,0.06508629,74.24240872072666
188,0.0,18800,0.99609375,0.10119629,0.018901587,48,4800,82,83.7007143497467,-10.446216,-3.8247304,0.09151229,70.04692994118557
195,0.0,19500,0.99609375,0.11126709,0.018538507,50,5000,92,93.87519311904907,-11.058387,-3.7316368,0.09542787,70.95321565395474
202,0.0,20200,0.99609375,0.114990234,0.018729523,53,5300,102,103.95009088516235,-10.715307,-3.775103,0.11562548,56.0840564727788
209,0.0,20900,0.9960935,0.1251831,0.018430948,57,5700,113,114.87967252731323,-11.07072,-3.6973255,0.20841962,59.9202202022777
215,0.0,21500,0.99609375,0.13018799,0.01800374,60,6000,124,125.71212077140808,-11.422113,-3.5855882,0.13300595,72.918578851407
222,0.0,22200,0.99609375,0.12463379,0.017831946,63,6300,134,135.87313103675842,-11.839564,-3.5461888,0.08275678,68.47488663214635
230,0.0,23000,0.99609375,0.1296997,0.017674968,67,6700,145,146.92094373703003,-11.994331,-3.500956,0.085221015,58.721727713300815
237,0.0,23700,0.99609375,0.12817383,0.017357113,71,7100,156,157.92342710494995,-11.923309,-3.420012,0.11253657,53.91645178589721
243,0.0,24300,0.99609065,0.13623047,0.017261744,74,7400,167,168.792240858078,-12.188155,-3.3930326,0.13746603,73.27909176502575
251,0.0,25100,0.996094,0.13574219,0.017342012,79,7900,178,179.8637342453003,-12.166065,-3.4150665,0.21829587,59.00485670681647
258,0.0,25800,0.99609137,0.13604736,0.017219916,82,8200,189,190.7702980041504,-12.357058,-3.3769755,0.17678922,62.78513433168158
264,0.0,26400,0.9960935,0.13665771,0.016965436,86,8600,200,201.56303191184998,-12.525891,-3.3149123,0.11723814,63.483676278853295
271,0.0,27100,0.9960933,0.14196777,0.016878255,89,8900,211,212.43018412590027,-12.066825,-3.2870936,0.108772606,71.95931779567647
278,0.0,27800,0.9960923,0.1373291,0.01701207,93,9300,221,222.4402413368225,-12.441402,-3.3220503,0.15799464,72.51698102299733
286,0.0,28600,0.9960935,0.13708496,0.016781889,97,9700,232,233.41797852516174,-12.656681,-3.2653418,0.13078403,51.24773000060901
291,0.0,29100,0.99609256,0.13671875,0.016655337,100,10000,243,244.04850506782532,-12.824821,-3.230389,0.14652964,70.72415925377425
299,0.0,29900,0.996094,0.140625,0.016832042,103,10300,253,254.09055471420288,-12.294813,-3.2803226,0.13642381,61.477987535175124
306,0.0,30600,0.99609137,0.1416626,0.01671283,108,10800,264,264.9476821422577,-12.401308,-3.2481055,0.14286104,60.864832165399875
312,0.0,31200,0.9960954,0.1408081,0.016674843,113,11300,275,275.8708486557007,-12.702174,-3.240076,0.1669479,57.31734239812782
319,0.0,31900,0.9960928,0.15045166,0.01637423,116,11600,286,286.74008536338806,-12.925067,-3.1587644,0.13017336,71.16613427254568
327,0.0,32700,0.9960921,0.15118408,0.016358538,120,12000,297,297.7005777359009,-13.041436,-3.153969,0.109383255,60.31675957531285
333,0.0,33300,0.9960916,0.15185547,0.01638735,124,12400,307,308.0148341655731,-12.929321,-3.157403,0.13642189,61.59199226301171
339,0.0,33900,0.9960959,0.14733887,0.01622511,127,12700,317,318.067067861557,-13.295996,-3.11709,0.14403571,68.28161785710016
346,0.0,34600,0.99609375,0.15386963,0.016182903,130,13000,327,328.11865067481995,-13.230644,-3.1069205,0.11562328,71.32694327626426
353,0.0,35300,0.99609137,0.14910889,0.016420204,134,13400,338,338.9444375038147,-12.8965,-3.160623,0.19083828,62.259820166177434
360,0.0,36000,0.9960947,0.15716553,0.015873834,138,13800,349,349.97003149986267,-13.631768,-3.0243602,0.1812272,58.594497559612684
366,0.0,36600,0.99609494,0.15106201,0.016064327,141,14100,359,360.05799531936646,-13.318281,-3.0774581,0.13198414,71.48147518916522
374,0.0,37400,0.9960909,0.15496826,0.016054524,145,14500,370,371.1426417827606,-13.340144,-3.0723953,0.14034203,54.240770133367384
381,0.0,38100,0.99609447,0.15551758,0.016003156,148,14800,381,382.2212381362915,-13.334741,-3.0571342,0.128519,53.51226662493633
387,0.0,38700,0.9960933,0.1605835,0.016020603,152,15200,392,393.0540421009064,-13.381037,-3.0624933,0.117533065,61.99718093279576
394,0.0,39400,0.9960928,0.15435791,0.016031254,156,15600,403,403.92439007759094,-13.064884,-3.0668926,0.12318522,73.5410390546129
402,0.0,40200,0.9960904,0.16497803,0.01593333,160,16000,413,414.23360300064087,-13.217012,-3.037035,0.17711228,53.2985977212101
408,0.0,40800,0.9960942,0.15887451,0.015880007,164,16400,424,424.87276816368103,-13.35638,-3.0220768,0.13816552,55.89228788305313
414,0.0,41400,0.9960966,0.15594482,0.016351193,167,16700,435,435.7206275463104,-12.833756,-3.1447446,0.20743746,68.1465485311205
422,0.0,42200,0.99609256,0.17004395,0.015725426,171,17100,445,445.8889973163605,-13.464729,-2.9817014,0.16988231,71.24499201121084
429,0.0,42900,0.99609184,0.1550293,0.01589213,176,17600,456,456.9231204986572,-13.374437,-3.027952,0.13333243,52.52198549144615
435,0.0,43500,0.9960935,0.16479492,0.015900154,179,17900,467,467.69618248939514,-13.375036,-3.0304806,0.13358799,59.18070593433088
442,0.0,44200,0.99609494,0.17279053,0.01567272,183,18300,478,478.6149523258209,-13.357662,-2.9688072,0.13348404,69.16738925532228
450,0.0,45000,0.99609494,0.17022705,0.015573882,187,18700,488,488.93950295448303,-13.5802555,-2.9445233,0.13450861,55.637727677274164
456,0.0,45600,0.9960964,0.17114258,0.015482303,191,19100,499,499.57459139823914,-13.638985,-2.9176252,0.12873797,55.054332515420974
462,0.0,46200,0.99609566,0.16473389,0.015745953,195,19500,510,510.4828658103943,-13.5830765,-2.9879687,0.12009191,66.2292566846569
470,0.0,47000,0.9960916,0.1652832,0.015547734,199,19900,520,520.614236831665,-13.772385,-2.934784,0.17024788,70.85309585020403
478,0.0,47800,0.99609447,0.17272949,0.015548172,204,20400,531,531.7007393836975,-13.302753,-2.9342988,0.13137434,40.37611247142722
482,0.0,48200,0.99609256,0.1687622,0.015737884,209,20900,542,542.1356282234192,-13.36795,-2.985083,0.12998065,72.17211690446175
490,0.0,49000,0.99609256,0.1716919,0.01557669,213,21300,552,552.2472546100616,-13.223052,-2.9434392,0.16438618,71.18217498584633
498,0.0,49800,0.9960935,0.1741333,0.015409723,218,21800,562,562.3371469974518,-13.650478,-2.897297,0.12853535,42.904304232532354
502,0.0,50200,0.9960916,0.17675781,0.015390619,222,22200,573,572.8511743545532,-13.732546,-2.8902082,0.16047108,69.8940365140293
510,0.0,51000,0.996089,0.17687988,0.015451334,226,22600,583,582.8954253196716,-13.689932,-2.9075193,0.14913091,72.04984417655677
518,0.0,51800,0.99609303,0.17889404,0.015296023,230,23000,594,594.0483322143555,-13.637773,-2.8637836,0.15082556,52.68182711142521
522,0.0,52200,0.9960916,0.18273926,0.015200981,234,23400,604,604.0915713310242,-13.943683,-2.8442304,0.15736875,54.43499537546162
530,0.0,53000,0.9960952,0.17327881,0.015519207,239,23900,614,614.2395353317261,-13.521593,-2.922775,0.17799085,66.12002253301316
537,0.0,53700,0.996094,0.17602539,0.01540234,244,24400,625,625.1656346321106,-13.62065,-2.8922925,0.14150071,62.150281479972264
542,0.0,54200,0.9960909,0.17443848,0.015404787,247,24700,636,635.8140444755554,-13.366003,-2.894691,0.15349594,74.03710854326131
550,0.0,55000,0.9960935,0.18206787,0.015273465,250,25000,646,646.033634185791,-13.661013,-2.861419,0.16773075,70.1834794119485
557,0.0,55700,0.99609184,0.1796875,0.015309009,255,25500,656,656.1187191009521,-13.477007,-2.8741364,0.12877746,60.28462893356339
563,0.0,56300,0.99609566,0.17376709,0.015374908,260,26000,667,666.9048299789429,-13.523591,-2.8900821,0.12714715,60.24604160153405
570,0.0,57000,0.99609566,0.18249512,0.015290574,263,26300,677,676.945720911026,-13.673451,-2.8647575,0.15734103,61.01501944085439
577,0.0,57700,0.9960942,0.18817139,0.015217139,266,26600,687,687.0819389820099,-13.677149,-2.843876,0.15799348,61.37332711755167
583,0.0,58300,0.9960964,0.18322754,0.015190795,270,27000,698,697.7260401248932,-13.665396,-2.8350616,0.13780487,63.001733727034335
589,0.0,58900,0.99609566,0.18225098,0.015272606,274,27400,709,708.4447596073151,-13.659127,-2.862523,0.12576687,75.27546114151207
597,0.0,59700,0.9960911,0.18054199,0.015253527,278,27800,719,718.5926568508148,-13.694054,-2.8556435,0.15191953,73.01413795673369
604,0.0,60400,0.99609447,0.17889404,0.015105957,281,28100,729,728.6088178157806,-13.869274,-2.8184156,0.13896024,55.06296040421213
609,0.0,60900,0.9960928,0.18157959,0.015074588,284,28400,740,739.0685243606567,-14.268524,-2.8105278,0.14714725,73.82047384064364
617,0.0,61700,0.9960947,0.1817627,0.015350625,288,28800,750,749.1555459499359,-13.824377,-2.8778498,0.15579632,59.72878967940957
624,0.0,62400,0.9960911,0.1862793,0.015119361,292,29200,761,760.107537984848,-13.663373,-2.8192546,0.14225885,60.11846880299424
631,0.0,63100,0.9960935,0.18225098,0.015059102,296,29600,772,771.0345213413239,-14.006666,-2.8072577,0.12213728,55.50025110339733
637,0.0,63700,0.99609375,0.18359375,0.015126357,299,29900,783,781.8199591636658,-13.462233,-2.8243997,0.123976246,71.75095336777316
644,0.0,64400,0.99609065,0.18591309,0.015077465,303,30300,793,791.907853603363,-14.013229,-2.8051004,0.16176356,58.38388817525729
651,0.0,65100,0.99609494,0.18475342,0.015003156,306,30600,803,802.0082159042358,-13.661251,-2.7881072,0.15302639,67.30743776827586
657,0.0,65700,0.9960942,0.19091797,0.014929942,310,31000,814,812.8148813247681,-13.845932,-2.769227,0.12698346,72.89814291797381
664,0.0,66400,0.9960935,0.19671631,0.015076202,314,31400,825,823.758989572525,-13.483566,-2.806075,0.16185188,58.704878990759354
671,0.0,67100,0.9960971,0.19476318,0.015054149,316,31600,835,833.946793794632,-13.587857,-2.7996116,0.17729396,69.89125222384429
679,0.0,67900,0.9960964,0.19134521,0.01493229,320,32000,846,845.0302324295044,-13.604622,-2.767314,0.15192533,53.56836228183853
684,0.0,68400,0.9960928,0.19763184,0.0149427615,324,32400,856,855.0597238540649,-13.7831,-2.7728424,0.13336599,60.48802612449153
691,0.0,69100,0.99609375,0.18920898,0.015016249,327,32700,866,865.3623495101929,-13.822315,-2.7903748,0.1942827,69.61857896230148
699,0.0,69900,0.99609494,0.19396973,0.014903847,331,33100,877,876.2681851387024,-14.011477,-2.763451,0.1377191,49.07456319078544
704,0.0,70400,0.9960923,0.19696045,0.014748577,334,33400,888,886.7795834541321,-14.172632,-2.7181182,0.14828199,70.29389809621398
711,0.0,71100,0.9960921,0.1965332,0.014946847,338,33800,898,896.8176019191742,-13.734463,-2.7719085,0.1574859,68.497234444965
719,0.0,71900,0.9960964,0.19470215,0.014765188,344,34400,908,907.0715320110321,-13.621852,-2.7242637,0.1503548,49.8254402119863
724,0.0,72400,0.99609375,0.19030762,0.014932968,347,34700,919,917.7344415187836,-13.94058,-2.7696767,0.12506671,62.52482517954879
731,0.0,73100,0.9960942,0.184021,0.01505625,350,35000,929,927.8198578357697,-13.287964,-2.8017664,0.14704865,70.5294173132104
739,0.0,73900,0.9960928,0.19805908,0.0149239395,354,35400,940,938.8124244213104,-13.749468,-2.7661276,0.15518862,54.73795037122681
745,0.0,74500,0.99609566,0.19030762,0.015091902,358,35800,951,949.5160462856293,-13.295568,-2.8118868,0.13615537,59.20614603900561
751,0.0,75100,0.9960928,0.19464111,0.015026898,361,36100,962,960.285552740097,-13.216684,-2.790698,0.1466164,64.3306947013032
759,0.0,75900,0.9960942,0.19415283,0.014884181,365,36500,973,971.1517400741577,-13.689785,-2.7532248,0.17758004,72.02647133005983
766,0.0,76600,0.9960921,0.18164062,0.014975919,369,36900,983,981.1904003620148,-13.532968,-2.7772584,0.1613265,61.13624978192911
772,0.0,77200,0.9960952,0.19293213,0.01493495,372,37200,994,991.9925482273102,-13.565266,-2.7689345,0.15830503,71.63870466361344
779,0.0,77900,0.9960997,0.19238281,0.014945844,376,37600,1004,1002.0228507518768,-13.31765,-2.7728524,0.12971583,61.32802320470162
786,0.0,78600,0.9960904,0.19140625,0.014651543,379,37900,1014,1012.0716681480408,-14.188187,-2.6933703,0.14779496,62.15681500902706
792,0.0,79200,0.99609613,0.1973877,0.014648957,382,38200,1025,1022.7814106941223,-14.0098295,-2.693706,0.1440524,72.755490362526
800,0.0,80000,0.9960933,0.19494629,0.014868046,387,38700,1036,1033.8024616241455,-14.026154,-2.7500696,0.15820405,57.6044965057745
806,0.0,80600,0.9960947,0.1975708,0.014683036,390,39000,1047,1044.5410141944885,-14.099552,-2.6992724,0.14552912,74.28857631907766
813,0.0,81300,0.99609923,0.1897583,0.014939172,394,39400,1057,1054.7274696826935,-13.912599,-2.7684455,0.14519443,61.5147016530007
820,0.0,82000,0.996099,0.19268799,0.014769793,397,39700,1068,1065.5860631465912,-14.036243,-2.726406,0.15659198,72.62964288738833
827,0.0,82700,0.99609303,0.19232178,0.014789726,401,40100,1079,1076.4754722118378,-13.901327,-2.7288961,0.14417517,61.75514100006649
834,0.0,83400,0.99609303,0.20983887,0.014588253,405,40500,1089,1086.6472101211548,-14.19834,-2.6732807,0.16873103,61.021788084137114
