actor_episodes,actor_steps,delta_dist,delta_dist_10,delta_dist_100,delta_dist_1000,episode_length,episode_return,evaluator_episodes,evaluator_steps,final_dist,final_dist_10,final_dist_100,final_dist_1000,init_dist,init_dist_10,init_dist_100,init_dist_1000,min_dist,min_dist_10,min_dist_100,min_dist_1000,steps_per_second,success,success_1000
3,300,-0.32585955,-0.772087,-0.772087,-0.772087,100,2.0,1,100,3.6128826,4.096982,4.096982,4.096982,3.287023,3.3248954,3.3248954,3.3248954,2.5495396,3.2747624,3.2747624,3.2747624,24.327367180259394,0.0,1.0
35,3500,2.3323011,0.21667974,-0.37185302,-0.37185302,100,87.0,9,900,1.9713751,4.5706153,5.1497602,5.1497602,4.303676,4.7872953,4.777908,4.777908,0.34321886,2.0166726,2.5498052,2.5498052,73.76644499645089,1.0,0.41935483870967744
68,6800,0.9067826,-0.62664354,-0.15801358,-0.15801358,100,4.0,17,1700,4.4162154,5.044718,5.2338586,5.2338586,5.322998,4.418074,5.075845,5.075845,2.9442434,2.2896242,2.633147,2.633147,67.51031815754291,0.0,0.3968253968253968
100,10000,1.4638281,-0.6991869,0.07493716,0.0734678,100,0.0,25,2500,4.6251354,6.935125,5.311129,5.276095,6.0889635,6.235938,5.3860664,5.3495626,4.247997,2.772786,2.4846747,2.5050611,54.62414436190496,0.0,0.43157894736842106
116,11600,-1.848259,0.981057,0.1687693,0.04386409,100,2.0,29,2900,5.949472,5.4302297,5.3503437,5.42745,4.101213,6.411287,5.519113,5.471315,3.7054722,2.4325747,2.348835,2.50184,25.361180156296747,0.0,0.44144144144144143
128,12800,-2.687739,2.0116587,0.33803847,0.15289365,100,0.0,32,3200,7.3718815,4.2102995,5.3843465,5.343943,4.6841426,6.2219586,5.7223845,5.4968367,2.9934897,2.1255589,2.4435062,2.4775147,21.149808657016923,0.0,0.43089430894308944
140,14000,7.5216446,2.5906909,0.52342635,0.33230475,100,82.0,36,3600,1.1096343,2.8420486,5.2320256,5.153115,8.631279,5.4327393,5.755452,5.4854193,0.67469174,1.2616991,2.3899086,2.3993285,19.726407875016445,1.0,0.4444444444444444
151,15100,3.803185,3.1097455,0.9284651,0.5466843,100,2.0,39,3900,1.9299784,2.1781178,4.826738,4.946384,5.7331634,5.2878633,5.7552032,5.493068,1.6958758,0.55321825,2.0690773,2.2673955,26.62680595569402,1.0,0.4863013698630137
163,16300,-1.6750252,2.5488174,1.2963527,0.72788763,100,0.0,42,4200,2.236199,2.3221042,4.431735,4.7561145,0.5611736,4.8709216,5.728088,5.484002,0.24020183,0.4259653,1.848822,2.1475568,22.239924027053963,1.0,0.5253164556962026
174,17400,0.2508421,2.8132596,1.5027819,0.8389003,100,0.0,45,4500,4.1416187,2.2997787,4.160944,4.5960536,4.392461,5.1130385,5.6637263,5.4349537,0.14692344,0.5123292,1.684026,2.043809,22.182364320565984,1.0,0.5502958579881657
186,18600,-3.6344504,3.7873378,1.781777,1.0343615,100,0.0,48,4800,6.295606,2.1120682,3.8654242,4.4213443,2.6611557,5.8994064,5.6472015,5.455706,0.20484024,0.5988237,1.4600393,1.9479442,20.874063173853912,1.0,0.580110497237569
198,19800,6.045245,1.8161265,2.051982,1.0696675,100,89.0,52,5200,2.0631301,2.48066,3.4031777,4.3202314,8.108376,4.2967863,5.45516,5.389899,0.64106256,0.5288276,1.2013811,1.8605064,15.15240976660622,1.0,0.6062176165803109
206,20600,-1.092587,3.217411,2.4627752,1.1617448,100,0.0,56,5600,5.106155,2.3776681,2.9887345,4.254857,4.013568,5.595079,5.451509,5.4166026,1.1837281,0.37502778,1.0449741,1.8047541,16.797463662699016,1.0,0.6218905472636815
214,21400,3.700658,2.5901246,2.5875902,1.2115548,100,100.0,62,6200,0.2904897,2.1403139,2.7709122,4.1910987,3.9911478,4.730439,5.3585024,5.402653,0.18767102,0.5961565,0.94478667,1.7602515,11.770491820760581,1.0,0.6363636363636364
222,22200,2.6665387,3.0837069,2.798001,1.3114048,100,88.0,66,6600,1.7460532,1.9743392,2.5610175,4.109047,4.412592,5.0580454,5.359018,5.4204516,0.40553418,0.6058244,0.77961206,1.7221116,16.697165779931222,1.0,0.6497695852534562
230,23000,4.047382,2.236747,2.9621704,1.3685235,100,72.0,70,7000,1.9682046,2.5744445,2.3164487,4.030029,6.0155864,4.8111916,5.278619,5.3985524,0.020444643,1.2383261,0.6739559,1.704669,15.117005939680526,1.0,0.6577777777777778
238,23800,1.014845,3.6842003,3.0976157,1.4476885,100,95.0,74,7400,0.358488,1.3130081,2.178183,3.9356256,1.373333,4.997208,5.275799,5.3833137,0.3010556,0.47680107,0.5784927,1.65325,16.672440382557472,1.0,0.6695278969957081
246,24600,3.3936205,1.5846417,2.8703027,1.4265772,100,96.0,80,8000,1.7240273,3.4978127,2.2823431,3.938604,5.1176476,5.082454,5.152645,5.3651814,0.09365481,0.9030987,0.619805,1.6351526,16.57257126104017,1.0,0.6763485477178424
254,25400,2.9445496,1.6136729,2.883197,1.4613103,100,94.0,84,8400,1.7569913,3.1791472,2.2477212,3.8893332,4.701541,4.7928205,5.130918,5.350643,1.1917022,0.70188445,0.6147038,1.6096852,16.877380553202368,1.0,0.6867469879518072
263,26300,5.097372,3.8105175,2.9093509,1.5510812,100,93.0,90,9000,0.7893384,1.1721184,2.2001455,3.7915978,5.8867106,4.982636,5.109496,5.342679,0.7893384,0.51464474,0.61690325,1.5699518,14.668751385587678,1.0,0.6976744186046512
271,27100,6.4998713,3.2609787,2.9781408,1.5974327,100,0.0,93,9300,2.8458214,2.5387044,2.261666,3.7705271,9.345693,5.7996836,5.239807,5.3679595,2.8458214,0.7483455,0.6523957,1.549807,17.130567531244274,0.0,0.6992481203007519
279,27900,8.435241,3.012114,3.0589218,1.6715454,100,96.0,97,9700,0.6263291,2.8816948,2.344476,3.7347374,9.06157,5.8938084,5.403398,5.406282,0.5521203,0.8250731,0.6642911,1.5223246,17.144070302433978,1.0,0.7043795620437956
287,28700,5.1514173,4.1503754,3.1401196,1.7468425,100,99.0,103,10300,0.07705803,2.4226727,2.2635708,3.681195,5.228475,6.5730486,5.403691,5.4280376,0.07705803,0.136991,0.62387604,1.4837577,14.69793551374988,1.0,0.7127659574468085
295,29500,2.7530065,4.3948607,3.3136272,1.8080916,100,78.0,107,10700,1.652502,2.343226,2.2416136,3.652578,4.4055085,6.7380867,5.5552406,5.4606695,0.32330003,0.5130094,0.6265149,1.4607213,16.820332567690716,1.0,0.7206896551724138
303,30300,2.8734245,3.234064,3.2762256,1.8326688,100,0.0,110,11000,5.615613,2.3811386,2.2312357,3.6272392,8.4890375,5.6152024,5.5074615,5.459908,0.15702634,0.6525289,0.64137167,1.437258,17.103449243280238,1.0,0.7281879194630873
311,31100,1.6934491,1.6426218,3.1525297,1.846849,100,96.0,114,11400,1.6632558,3.7887893,2.3522892,3.6280646,3.356705,5.4314117,5.504818,5.4749136,0.07279732,0.55683327,0.63993096,1.4173664,17.145668880139898,1.0,0.7320261437908496
319,31900,-7.4517403,2.3028476,3.1513984,1.881402,100,0.0,118,11800,8.569548,2.5046196,2.398684,3.5742972,1.1178074,4.8074675,5.550082,5.455699,0.15876049,0.54260516,0.6637649,1.3948138,17.181337553338576,1.0,0.7388535031847133
327,32700,5.539711,2.705234,3.127221,1.8933285,100,94.0,122,12200,0.4418874,2.1647358,2.3692417,3.5471537,5.9815984,4.8699703,5.496463,5.440482,0.07840756,0.09324829,0.57559973,1.3628609,16.24082192892596,1.0,0.7453416149068323
