actor_episodes,actor_steps,delta_dist,delta_dist_10,delta_dist_100,delta_dist_1000,episode_length,episode_return,evaluator_episodes,evaluator_steps,final_dist,final_dist_10,final_dist_100,final_dist_1000,init_dist,init_dist_10,init_dist_100,init_dist_1000,min_dist,min_dist_10,min_dist_100,min_dist_1000,steps_per_second,success,success_1000
3057,305700,8.906984,4.811817,4.012177,3.5451093,100,85.0,1689,168900,0.12228785,0.35402435,1.5338261,1.802843,9.029272,5.1658416,5.5460033,5.3479524,0.12228785,0.11121257,0.22535786,0.24446325,18.912464227754857,1.0,0.984
3065,306500,8.672157,4.735634,4.0907764,3.5484252,100,85.0,1694,169400,0.21119957,0.3562462,1.2949315,1.792927,8.883357,5.0918803,5.385708,5.3413525,0.0803412,0.13345784,0.22329296,0.24480456,16.53695651213947,1.0,0.984
3073,307300,0.33716142,4.543237,4.1896925,3.5468733,100,33.0,1698,169800,0.498271,1.1997321,1.1258937,1.7964993,0.8354324,5.7429686,5.315587,5.3433723,0.024952479,0.12931427,0.20753752,0.24519214,14.874263424468298,1.0,0.984
3081,308100,8.653109,1.8567377,4.0201683,3.5283813,100,29.0,1703,170300,0.2526876,2.3865218,1.0948803,1.808979,8.905796,4.24326,5.115048,5.3373604,0.07842365,0.12617584,0.1607822,0.2453338,16.76768792901122,1.0,0.984
3089,308900,1.3581077,3.9329689,3.9386501,3.5364337,100,0.0,1707,170700,1.5980047,1.5723425,1.1959617,1.8082075,2.9561124,5.5053115,5.1346116,5.344641,0.051008098,0.34541744,0.17955667,0.24749447,16.75856572737332,1.0,0.984
3097,309700,1.4629407,4.6325016,4.049617,3.5582833,100,0.0,1712,171200,2.5032215,1.1000731,1.2290872,1.7865227,3.9661622,5.7325745,5.2787037,5.344806,0.13694039,0.2477338,0.17819361,0.24539012,14.452242676295192,1.0,0.984
3105,310500,1.8313062,3.6791103,3.8811655,3.553725,100,0.0,1716,171600,3.0369966,1.0013134,1.2775499,1.7876266,4.868303,4.680423,5.1587152,5.3413515,0.21289177,0.30934435,0.19753206,0.24733347,16.402312926095846,1.0,0.984
3113,311300,8.497744,2.173931,3.98652,3.544989,100,88.0,1721,172100,0.37004,2.45842,1.215773,1.7931212,8.867784,4.63235,5.202293,5.3381104,0.24188897,0.23832527,0.19634262,0.24770303,16.309720690029277,1.0,0.984
3121,312100,0.3726611,5.5411544,4.074126,3.581084,100,78.0,1725,172500,0.36120212,1.5128758,1.2336652,1.7815999,0.73386323,7.05403,5.307791,5.362684,0.13546148,0.1276609,0.19207436,0.24755241,14.624922339062024,1.0,0.984
3129,312900,-3.7014346,4.24786,4.0554166,3.5889976,100,0.0,1730,173000,9.215309,0.2992884,1.190847,1.772384,5.5138745,4.5471487,5.246263,5.361382,0.124132715,0.09492928,0.1843136,0.24545506,16.542696152023378,1.0,0.984
3137,313700,8.807202,3.754718,3.93893,3.58377,100,91.0,1734,173400,0.10989373,1.2283909,1.201876,1.7745649,8.917096,4.9831085,5.1408057,5.358335,0.10203519,0.09086086,0.17674522,0.24501084,16.537221230612854,1.0,0.984
3145,314500,1.6952112,4.2484818,4.0512767,3.5955627,100,100.0,1739,173900,0.52496964,1.0440639,1.2056464,1.760319,2.2201807,5.292546,5.256923,5.3558817,0.18294796,0.17111953,0.17348704,0.2441825,16.457903702265533,1.0,0.984
3153,315300,-0.5956185,2.3219228,3.8039477,3.5898447,100,0.0,1744,174400,2.8464897,2.6574786,1.3646208,1.7616732,2.2508712,4.9794016,5.1685686,5.3515186,0.09200379,0.19499019,0.17775327,0.24144687,14.687645762742727,1.0,0.985
3161,316100,4.187772,4.1430354,3.7095428,3.6044183,100,93.0,1748,174800,0.3153261,0.7510086,1.4087508,1.7470796,4.503098,4.894044,5.1182942,5.351498,0.057531964,0.11938782,0.17613548,0.24094073,16.670320570002563,1.0,0.985
3169,316900,6.4594235,6.5963326,3.8286936,3.6364923,100,84.0,1753,175300,0.54428476,0.47088695,1.3375849,1.7297232,7.0037084,7.0672197,5.166278,5.366215,0.1633728,0.11582565,0.17668936,0.24078904,16.566214118715614,1.0,0.985
3177,317700,4.166403,4.6734505,4.0004253,3.6400828,100,89.0,1757,175700,0.2817406,0.7193834,1.3130524,1.7251805,4.4481435,5.3928337,5.313477,5.3652635,0.06200324,0.10786345,0.17897558,0.23990078,17.03102044150918,1.0,0.985
3185,318500,7.3313155,2.5687938,3.908411,3.6342187,100,0.0,1761,176100,0.5670887,1.8044573,1.3173954,1.7250236,7.898404,4.3732514,5.225806,5.3592424,0.06446002,0.15658402,0.17849745,0.23932771,14.745322891607689,1.0,0.985
3193,319300,4.0262275,5.0097976,4.023522,3.6494322,100,91.0,1767,176700,0.35353634,1.170088,1.2635192,1.7192997,4.3797636,6.1798854,5.287041,5.368732,0.35353634,0.14253746,0.16300915,0.2384286,17.16289930003852,1.0,0.985
3201,320100,7.4486437,2.4659286,3.7571745,3.636148,100,94.0,1771,177100,0.47833565,2.8403487,1.5048615,1.7330517,7.9269795,5.3062773,5.2620363,5.3691993,0.17535792,0.6078854,0.2081752,0.24200302,17.15606023966678,1.0,0.984
3209,320900,6.5626817,2.0567808,3.7942076,3.6324887,100,16.0,1778,177800,0.14262058,2.3029313,1.4573745,1.7290909,6.7053022,4.3597116,5.251581,5.36158,0.14262058,0.27403915,0.18562636,0.24210934,16.254407293289752,1.0,0.984
3217,321700,5.7013044,3.1678185,3.7955148,3.6267312,100,4.0,1782,178200,1.1931623,1.5151792,1.3809013,1.7397431,6.894467,4.6829977,5.1764154,5.3664746,0.10699208,0.16959651,0.18392453,0.24254265,14.80059635657889,1.0,0.984
3225,322500,0.69142646,2.6544201,3.63035,3.629649,100,97.0,1786,178600,0.2982052,3.350179,1.5860002,1.7474228,0.98963165,6.004599,5.2163496,5.3770714,0.2708692,0.40372258,0.2107065,0.24334607,16.631816007553486,1.0,0.983
3233,323300,3.9823122,4.590703,3.7451992,3.6544003,100,87.0,1792,179200,0.24219936,1.3954422,1.5436273,1.7272835,4.2245116,5.986146,5.288827,5.381684,0.22569618,0.36638135,0.21708563,0.24366929,15.040474914654002,1.0,0.983
3241,324100,5.5689564,6.138093,3.854785,3.6641395,100,98.0,1798,179800,0.40783656,1.2657531,1.6328518,1.7271445,5.976793,7.4038453,5.4876375,5.3912835,0.3344866,0.18676582,0.22093357,0.23741147,15.70734888492834,1.0,0.984
3249,324900,3.4813275,4.411593,3.8482044,3.6808872,100,53.0,1802,180200,0.37340903,1.9966968,1.7303,1.7091451,3.8547366,6.4082894,5.578504,5.3900323,0.23303549,0.2938865,0.23307271,0.23852304,16.664668163914733,1.0,0.984
3257,325700,5.8893027,2.138937,4.0066633,3.6813061,100,65.0,1806,180600,0.2730181,2.3150275,1.6593846,1.7114811,6.1623206,4.4539638,5.666048,5.392787,0.08311284,0.39751792,0.25944787,0.23784052,16.501075128033396,1.0,0.983
