actor_episodes,actor_loss,actor_steps,binary_accuracy,categorical_accuracy,critic_loss,evaluator_episodes,evaluator_steps,learner_steps,learner_walltime,logits_neg,logits_pos,logsumexp,steps_per_second
113,0.0,11300,0.99006414,0.0038452148,0.06896967,28,2800,1,0,-11.074984,-11.8332,2.924387,0.0
122,0.0,12200,0.99609375,0.020019531,0.022343919,31,3100,10,10.649835348129272,-7.146635,-4.588567,0.093265496,62.10682675340114
132,0.0,13200,0.99609375,0.02734375,0.021820188,33,3300,20,21.234078884124756,-7.400249,-4.602011,0.037793078,58.47265718767984
140,0.0,14000,0.99609375,0.038208008,0.02147796,36,3600,30,31.28730845451355,-7.5935163,-4.5145035,0.040069498,59.497154975379765
149,0.0,14900,0.99609375,0.046325684,0.02135496,38,3800,40,41.46687340736389,-7.688356,-4.469495,0.048084505,69.42191544524113
158,0.0,15800,0.99609375,0.042297363,0.021274272,40,4000,50,51.71937680244446,-7.6524696,-4.449246,0.033688705,57.438159106222805
168,0.0,16800,0.99609375,0.047546387,0.020709038,43,4300,61,62.6590678691864,-8.1336155,-4.30747,0.03631137,62.705393423203866
177,0.0,17700,0.99609375,0.056396484,0.020515032,45,4500,71,73.24125838279724,-8.482945,-4.2499533,0.050020944,70.78141057367296
186,0.0,18600,0.99609375,0.07684326,0.019839434,48,4800,81,83.47609043121338,-9.175268,-4.067547,0.13491096,55.47261029666281
195,0.0,19500,0.99609375,0.08898926,0.019385947,50,5000,91,93.5396466255188,-9.886484,-3.949308,0.10480158,69.68069121176212
202,0.0,20200,0.99609375,0.10479736,0.019068014,53,5300,101,103.81916451454163,-10.330875,-3.8681188,0.099789925,61.36624177757538
209,0.0,20900,0.99609375,0.109069824,0.018897638,56,5600,112,114.62275958061218,-10.388172,-3.8214064,0.16866529,59.24814587068041
216,0.0,21600,0.99609375,0.109313965,0.018747702,60,6000,123,125.47314715385437,-10.691057,-3.7790685,0.25668937,61.04493487202041
222,0.0,22200,0.99609375,0.12084961,0.018258115,63,6300,133,135.5757555961609,-10.720673,-3.6511455,0.10634762,68.31242648604437
228,0.0,22800,0.99609375,0.12158203,0.018058281,67,6700,143,145.66653060913086,-11.043787,-3.603748,0.0991953,60.96495318877948
235,0.0,23500,0.99609375,0.12731934,0.01814823,70,7000,153,155.72979164123535,-11.121057,-3.6246638,0.16352785,59.778535971169354
242,0.0,24200,0.99609375,0.13269043,0.017860847,74,7400,164,166.77883791923523,-11.418354,-3.5439086,0.1766293,57.5125006748899
248,0.0,24800,0.99609375,0.14343262,0.017709084,77,7700,174,176.77544903755188,-11.414574,-3.5157595,0.10982616,61.52806824404347
255,0.0,25500,0.996094,0.14221191,0.01777556,81,8100,184,186.78651356697083,-11.552204,-3.5235276,0.19543268,56.15482627146477
261,0.0,26100,0.99609375,0.13574219,0.017358575,84,8400,195,197.64379048347473,-11.691203,-3.4213164,0.11372098,61.46073042978135
268,0.0,26800,0.99609375,0.14624023,0.017328423,87,8700,205,207.77837753295898,-11.600915,-3.4091148,0.096524134,62.52963149660884
275,0.0,27500,0.99609375,0.14355469,0.017319448,91,9100,215,217.87905740737915,-11.58308,-3.4029725,0.20045114,53.76556742220946
282,0.0,28200,0.99609375,0.14764404,0.016923418,94,9400,226,228.56480288505554,-12.265385,-3.3059454,0.139585,60.00772933382335
288,0.0,28800,0.99609375,0.14605713,0.01693418,97,9700,236,238.58230757713318,-12.135462,-3.303326,0.13406684,61.77449717621517
295,0.0,29500,0.99609375,0.15563965,0.016732633,101,10100,247,249.38064050674438,-12.422062,-3.2577195,0.16651705,61.548157249903646
302,0.0,30200,0.9960892,0.15002441,0.017036315,105,10500,258,260.4001178741455,-12.227388,-3.3331864,0.26714796,60.96953652010775
309,0.0,30900,0.99609375,0.14575195,0.01683091,108,10800,268,270.52532029151917,-12.337906,-3.275576,0.15439415,60.91942042509966
315,0.0,31500,0.99609375,0.15429688,0.01672235,112,11200,278,280.71086168289185,-12.423315,-3.2448635,0.16494095,55.33185265284693
321,0.0,32100,0.9960933,0.1642456,0.016490193,115,11500,289,291.5572454929352,-12.534286,-3.182588,0.2137684,70.57299225455922
328,0.0,32800,0.99609375,0.1574707,0.016322061,118,11800,299,301.5898337364197,-12.54245,-3.1458826,0.09557616,59.45539407805923
335,0.0,33500,0.99608684,0.15905762,0.01658208,122,12200,309,311.8249204158783,-12.598837,-3.20641,0.29099098,60.42386922796418
341,0.0,34100,0.99609256,0.15960693,0.016356902,126,12600,320,322.6796188354492,-12.602543,-3.1538115,0.14594164,60.492756137998114
349,0.0,34900,0.99609375,0.1564331,0.016516555,129,12900,330,332.7387800216675,-12.495926,-3.197605,0.15147328,70.50664996863867
356,0.0,35600,0.99609375,0.16375732,0.01619295,133,13300,341,343.6362683773041,-13.086636,-3.1068246,0.14872287,52.88612033037244
