actor_episodes,actor_steps,delta_dist,episode_length,episode_return,evaluator_episodes,evaluator_steps,final_dist,init_dist,min_dist,steps_per_second,success,success_1000
2,200,-1.112555,100,0.0,1,100,6.381757,5.2692018,3.3345823,26.296227285254894,0.0,nan
7,700,-2.1770735,100,0.0,2,200,8.163307,5.9862337,5.1457844,68.63139382156051,0.0,0.0
11,1100,-1.4734948,100,12.0,3,300,4.534079,3.0605843,0.8347287,73.1077209683683,1.0,0.0
12,1200,0.09361553,100,0.0,4,400,8.207567,8.301183,4.401209,83.59543539023522,0.0,0.3333333333333333
16,1600,0.87081814,100,0.0,5,500,9.057714,9.928533,8.548197,60.018138645302486,0.0,0.25
20,2000,-2.5052958,100,0.0,6,600,7.1096153,4.6043196,2.0708728,58.04672935092988,0.0,0.2
25,2500,-0.5632665,100,1.0,7,700,2.931659,2.3683925,1.7084128,65.33246894284649,1.0,0.16666666666666666
28,2800,-2.0153694,100,0.0,8,800,8.265601,6.2502317,4.953379,65.51297832995874,0.0,0.2857142857142857
34,3400,-0.13797903,100,0.0,9,900,5.922633,5.784654,5.0414853,63.840573908601655,0.0,0.25
37,3700,1.6831914,100,3.0,10,1000,1.6363217,3.319513,1.6363217,70.5248270930223,1.0,0.2222222222222222
41,4100,-0.1503787,100,0.0,11,1100,3.0663264,2.9159477,2.0199664,68.1594796724292,0.0,0.3
46,4600,-0.7220714,100,39.0,12,1200,2.0075634,1.285492,0.45151004,52.17320996602768,1.0,0.2727272727272727
51,5100,4.3355227,100,27.0,13,1300,1.4565792,5.792102,1.2672032,66.4206293793225,1.0,0.3333333333333333
55,5500,-1.9562354,100,0.0,14,1400,7.1429,5.1866646,2.937572,75.21255330980287,0.0,0.38461538461538464
57,5700,-0.84262896,100,0.0,15,1500,6.509307,5.666678,5.573816,77.39149415832517,0.0,0.35714285714285715
60,6000,-3.9736905,100,0.0,16,1600,10.96809,6.9943995,6.6250434,70.42973296236984,0.0,0.3333333333333333
64,6400,-8.555403,100,0.0,17,1700,12.329159,3.7737565,2.644326,72.83315366577389,0.0,0.3125
69,6900,-4.559336,100,38.0,18,1800,6.0418997,1.4825634,0.089275874,73.25237035628216,1.0,0.29411764705882354
73,7300,3.2457025,100,8.0,19,1900,3.781379,7.0270815,1.4866934,78.07849242364024,1.0,0.3333333333333333
76,7600,-0.17007446,100,0.0,20,2000,8.607362,8.437287,8.311622,77.26979222490843,0.0,0.3684210526315789
80,8000,0.44987583,100,0.0,21,2100,7.0352764,7.4851522,4.0439963,76.55805057977477,0.0,0.35
84,8400,-0.26674747,100,0.0,22,2200,8.930536,8.663789,7.6501403,81.06907554900796,0.0,0.3333333333333333
88,8800,-0.20444012,100,0.0,23,2300,9.901645,9.697205,8.578613,78.01386701069144,0.0,0.3181818181818182
92,9200,0.49005032,100,0.0,24,2400,4.8028417,5.292892,4.5702167,72.8247188837964,0.0,0.30434782608695654
96,9600,0.35869074,100,0.0,25,2500,7.8979096,8.2566,7.0544753,71.90209954684732,0.0,0.2916666666666667
100,10000,-0.658236,100,0.0,26,2600,4.5363607,3.8781247,2.088146,47.54663971418764,0.0,0.28
104,10400,-0.22818232,100,0.0,27,2700,5.0149965,4.786814,3.5693195,40.13608918331371,0.0,0.2692307692307692
108,10800,0.6950364,100,41.0,28,2800,2.6070554,3.3020918,0.04538279,52.18207661898586,1.0,0.25925925925925924
112,11200,0.055556774,100,0.0,29,2900,6.357094,6.4126506,5.280108,47.134430936825,0.0,0.2857142857142857
117,11700,-5.314633,100,0.0,30,3000,11.898516,6.583883,2.0695853,17.98203538800139,0.0,0.27586206896551724
120,12000,1.2518921,100,0.0,31,3100,7.1666784,8.4185705,6.182688,25.210214145066633,0.0,0.26666666666666666
124,12400,5.8676662,100,31.0,32,3200,1.6571218,7.524788,0.6971812,27.43858444959958,1.0,0.25806451612903225
128,12800,0.64724207,100,0.0,33,3300,2.7774887,3.4247308,2.7705264,22.631486338970596,0.0,0.28125
131,13100,-0.43966007,100,0.0,34,3400,8.065295,7.625635,7.625635,23.74389250468588,0.0,0.2727272727272727
135,13500,-4.556522,100,5.0,35,3500,4.862729,0.30620706,0.30620706,27.66954482082003,1.0,0.2647058823529412
139,13900,0.5303916,100,100.0,36,3600,1.2638434,1.794235,0.41200304,25.416660000882306,1.0,0.2857142857142857
143,14300,0.523211,100,0.0,37,3700,6.5120015,7.0352125,6.339393,23.314847529780835,0.0,0.3055555555555556
147,14700,-0.8600769,100,0.0,38,3800,9.497218,8.637141,8.569829,24.440569173422638,0.0,0.2972972972972973
151,15100,5.34188,100,56.0,39,3900,3.6588275,9.000708,0.33302233,23.30596423855087,1.0,0.2894736842105263
154,15400,-1.9997392,100,0.0,40,4000,4.3034816,2.3037424,2.1707072,25.355084492687215,0.0,0.3076923076923077
158,15800,0.56611586,100,0.0,41,4100,6.159314,6.72543,6.159314,25.306203075826286,0.0,0.3
161,16100,3.5862432,100,97.0,42,4200,0.8408765,4.4271197,0.8271698,24.28295922396963,1.0,0.2926829268292683
165,16500,2.6829467,100,0.0,43,4300,5.4452643,8.128211,5.135141,28.620744550801177,0.0,0.30952380952380953
169,16900,0.5053377,100,0.0,44,4400,6.258516,6.7638535,6.197355,21.911949082285524,0.0,0.3023255813953488
173,17300,0.6410804,100,0.0,45,4500,7.862535,8.503615,7.829095,25.01556202297412,0.0,0.29545454545454547
177,17700,2.4335623,100,0.0,46,4600,2.8535953,5.2871575,2.8535953,23.88970885545091,0.0,0.28888888888888886
181,18100,-0.5623888,100,100.0,47,4700,1.9047258,1.342337,0.8298111,27.553047596837608,1.0,0.2826086956521739
184,18400,0.16625595,100,0.0,48,4800,4.3491764,4.5154324,4.3142257,26.087617440192844,0.0,0.2978723404255319
187,18700,-3.4948614,100,3.0,49,4900,4.594846,1.0999844,0.4090394,28.666437479368017,1.0,0.2916666666666667
