actor_episodes,actor_steps,delta_dist,delta_dist_10,delta_dist_100,delta_dist_1000,episode_length,episode_return,final_dist,final_dist_10,final_dist_100,final_dist_1000,init_dist,init_dist_10,init_dist_100,init_dist_1000,min_dist,min_dist_10,min_dist_100,min_dist_1000,steps_per_second,success,success_1000
5167,516700,-2.595231,-0.24602573,-0.46425933,-0.032987326,100,40.0,5.046418,5.0912523,5.5792556,5.3970656,2.4511871,4.845227,5.114996,5.364078,0.2434475,2.1911633,2.5042605,2.3708842,13.126624532859516,1.0,0.522
5175,517500,0.24913836,-0.055023573,-0.44810253,-0.030487856,100,0.0,4.332029,5.684805,5.6186843,5.3964787,4.581167,5.6297817,5.170581,5.3659906,2.9348257,2.823613,2.5814996,2.3714838,11.625696126107652,0.0,0.523
5183,518300,-2.1548295,0.6360751,-0.3894137,-0.031148387,100,21.0,8.418083,4.781316,5.518402,5.384241,6.2632537,5.4173913,5.1289873,5.3530927,5.5356426,2.910843,2.6324434,2.3590567,13.686898759500146,0.0,0.526
5191,519100,4.4495983,-0.6135913,-0.3279069,-0.02974847,100,13.0,3.085867,6.00879,5.492506,5.3929815,7.5354652,5.3951983,5.1645994,5.3632326,3.085867,2.692569,2.5893402,2.3646224,13.156837458521638,0.0,0.524
5199,519900,-0.039270878,0.21651407,-0.18470347,-0.022702675,100,0.0,7.1391554,5.916611,5.5654097,5.3919334,7.0998845,6.1331253,5.3807063,5.369231,5.1230626,4.0736914,2.794564,2.3917086,13.58645190096771,0.0,0.518
5207,520700,-3.942067,-0.5841573,-0.2638717,-0.017217148,100,0.0,6.4222875,6.244982,5.6083097,5.398031,2.4802206,5.660825,5.3444386,5.3808146,0.39345986,3.4336104,2.7869616,2.3969038,11.849734670220275,1.0,0.516
5215,521500,3.2185814,0.09446244,-0.3642014,-0.035734057,100,44.0,0.6580722,5.316886,5.6470485,5.410166,3.8766537,5.411349,5.282848,5.3744326,0.6580722,2.332134,2.7340705,2.3980408,13.05099548012125,1.0,0.516
5223,522300,3.0030696,2.5751815,-0.19001247,-0.030546363,100,0.0,2.7264802,3.8077579,5.5432286,5.4102736,5.72955,6.3829393,5.3532166,5.3797264,2.7264802,2.1539016,2.745244,2.4059381,13.414780372560363,0.0,0.513
5231,523100,-1.4348371,2.0572612,0.079500675,-0.012349185,100,23.0,5.27052,4.3062086,5.353328,5.3957314,3.835683,6.3634696,5.4328294,5.3833823,0.49727705,2.4331784,2.708604,2.410716,13.42581472207697,1.0,0.512
5239,523900,-3.7392254,0.6887191,0.051149577,-0.026879143,100,0.0,10.559741,6.162187,5.4691887,5.419157,6.8205156,6.8509064,5.520338,5.392278,3.631855,3.276743,2.818816,2.4274452,13.331826698178864,0.0,0.51
5247,524700,7.367941,-1.8321518,-0.0056532193,-0.03186779,100,16.0,1.5665026,5.8799796,5.517741,5.4250455,8.934443,4.0478277,5.5120873,5.3931775,1.5665026,2.08749,2.7771266,2.4245594,11.782013601874109,1.0,0.509
5255,525500,2.2743182,0.6104639,0.04357893,-0.034120813,100,0.0,5.4169226,4.9437184,5.440824,5.427749,7.691241,5.5541816,5.484403,5.3936286,5.4169226,2.2489913,2.6488278,2.4243126,10.702819603245583,0.0,0.506
5263,526300,5.866123,0.62707967,0.020078845,-0.027156219,100,31.0,2.0883482,5.53538,5.5603614,5.426303,7.9544716,6.1624594,5.5804396,5.3991466,0.54089814,2.7901154,2.704465,2.425245,13.333638516099663,1.0,0.506
5271,527100,6.6382465,1.5107073,0.20997818,-0.016990954,100,12.0,3.771556,5.420417,5.5331383,5.4303155,10.409802,6.931124,5.743117,5.413325,3.771556,2.4902925,2.6794856,2.422936,15.443889996365389,0.0,0.508
